ID,Income
4740,49644
8286,9000
7094,0
7474,97500
8193,92330
5883,9012
8258,43820
6089,65500
6830,36000
8905,26000
8362,80572
1867,157100
2238,10500
2389,51700
4152,62026
4146,80000
3891,119525
4392,66900
2843,85700
1637,26074
6401,34000
4837,6100
4802,12000
6292,55700
4691,9493
5561,40000
6947,50520
5577,74040
7289,51100
5356,55550
4954,5450
6613,56000
4450,47032
4161,55000
854,51200
181,15145
610,66835
904,60237
880,186100
745,267000
152,93310
209,72155
527,152876
332,169000
4884,30412
8078,36050
9020,20400
7111,56175
6009,144146
9405,103031
6304,38000
5107,115054
5149,104700
5821,85040
8463,96000
631,50000
1452,11364
2553,120016
5418,55250
8143,162800
6183,49000
7569,53100
4979,235200
7952,65010
3322,12104
3407,108000
2908,82000
2919,50100
6229,23438
7125,23150
7459,96970
8080,190100
6976,145460
366,44764
727,335650
5501,15300
4652,98075
4521,38500
8333,62200
2704,42250
1401,109016
1644,117100
1526,123165
2495,209900
2172,149000
9458,111200
8568,37772
4656,109889
9195,47135
9098,521238
7500,260100
9042,20000
9292,184200
6846,72752
7754,84400
9308,9480
3008,53500
3404,42400
1379,600100
2744,30000
1953,61238
